2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,triceps,rope pushdown,4,"25,30,30,30","30,15,12,12",,1920,45,,,,
,biceps,preachers curls,4,"5,7.5,10,10","20,15,10,10",,825,12,,,,
,Total,,20,435,281,,10030,159,,,,
24,29.8.23,W7T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,100","20,12,12,15",,4460,117,,,,
,,leg extension,4,"5,7.5,10,12.5","20,15,15,20",,1225,14,,,,
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,25",,4000,73,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,539,349,,10345,212,,,,
25,30.8.23,W7T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"12.5,15,17.5,20","20,15,13,12",,1885,24,,,,
,back,lat pull down,4,"40,45,50,55","20,15,13,12",,5570,70,,,,
,shoulders,side laterals,4,"5,7.5,10,10","15,12,12,12",,810,11,,,,
,triceps,rope pushdown,4,"25,30,30,30","30,15,15,16",,2130,46,,,,
,biceps,preachers curls,4,"5,7.5,10,10","20,15,10,11",,845,12,,,,
,Total,,20,435,303,,11240,163,,,,
26,1.9.23,W7T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,100","20,15,15,15",,5000,121,,,,
,,leg extension,4,"5,7.5,10,12.5","20,15,15,20",,1225,14,,,,
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,25",,4000,73,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,539,355,,10885,216,,,,
27,2.9.23,W7T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"12.5,15,17.5,20","20,15,15,15",,2075,25,,,,
,back,lat pull down,4,"40,45,50,55","20,15,15,13",,5880,72,,,,
,shoulders,side laterals,4,"5,7.5,10,10","15,12,12,12",,810,11,,,,
,triceps,rope pushdown,4,"25,30,30,35","30,15,15,15",,2175,48,,,,
,biceps,preachers curls,4,"7.5,10,12.5,12.5","15,12,8,8",,865,14,,,,
,Total,,20,450,297,,11805,170,,,,
28,5.9.23,W8T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,100","20,15,15,20",,5500,125,,,,
,,leg extension,4,"10,15,17.5,20","20,15,15,15",,1975,24,,,,
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,25",,4000,73,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,566.5,355,,12135,230,,,,
29,6.9.23,W8T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"15,17.5,20,22.5","20,15,15,12",,2265,28,,,,"Прогнозирам, че ще вдигам с 50% повече на някой основни упражнения в края на март 24та спрямо това което ще вдигна 10та та седмица"
,back,lat pull down,4,"45,50,55,60","17,16,13,10",,2880,76,,,,
,shoulders,side laterals,4,"5,7.5,10,10","15,13,12,12",,825,12,,,,
,triceps,rope pushdown,4,"30,30,35,35","20,20,15,15",,2250,51,,,,
,biceps,barbel curls,4,"15,20,25,25","20,16,10,12",,1170,31,,,,
,Total,,20,532.5,298,,9390,198,,,,
30,8.9.23,W8T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,120","20,17,17,15",,5660,132,,,,
,,leg extension,4,"10,15,17.5,20","20,15,15,20",,2175,25,,,,
